kinectAngles
version = 1
nRows=66
nColumns=22
inDegrees = yes
endheader

Time	pelvis_tx	pelvis_ty	pelvis_tz	hip_adduction_l	hip_rotation_l	hip_flexion_l	hip_adduction_r	hip_rotation_r	hip_flexion_r	knee_angle_l	ankle_angle_l	elbow_flexion_l	knee_angle_r	ankle_angle_r	elbow_flexion_r	arm_flexion_l	arm_adduction_l	arm_flexion_r	arm_adduction_r	pelvis_list	pelvis_tilt	pelvis_rotation
0.8	0	0	0	83.8733	34.582	33.8803	88.2284	82.0425	81.8452	178.3318	131.4281	158.8098	177.47	131.4582	158.4209	9.7323	25.8347	9.1786	17.9404	4.8493	2.2487	84.6524
0.83	0	0	0	83.8451	34.6465	33.939	88.1992	82.0676	81.8632	178.4133	130.9803	157.7144	177.4401	131.3329	158.5426	11.7457	30.2075	12.0764	19.996	4.8701	2.2577	84.6299
0.87	0	0	0	83.8472	34.7328	34.0266	88.1667	82.1819	81.9672	178.4674	131.43	160.246	177.6017	131.2843	157.3141	14.0835	34.1135	14.7072	22.8684	4.8732	2.2648	84.6239
0.9	0	0	0	83.723	34.7625	34.0278	88.0457	82.1403	81.898	178.64	131.2675	162.7272	177.5034	130.9988	157.003	15.4609	36.5527	16.2877	24.4497	4.9599	2.21	84.5677
0.93	0	0	0	83.8358	34.7567	34.0482	88.1854	82.1296	81.9206	178.3794	131.3068	162.127	177.3752	130.3912	152.3527	17.5978	38.9452	17.8984	26.4445	5.091	2.214	84.4459
0.97	0	0	0	83.8535	34.5124	33.8055	88.2156	81.9047	81.7078	178.3141	131.3191	169.6464	177.2491	130.6653	151.7216	18.981	39.2471	19.3636	28.8417	5.1152	2.119	84.4609
1	0	0	0	83.9613	33.8582	33.1694	88.1638	81.2097	81.017	178.3392	131.5066	NaN	176.9946	130.6952	157.2846	19.6649	39.1573	20.1482	31.3236	5.3083	1.9898	84.329
1.03	0	0	0	84.3195	33.2006	32.5851	88.5462	80.7732	80.6574	178.3035	131.5231	173.2505	176.7954	130.7065	153.3416	20.6721	38.7901	20.4685	32.6008	5.4138	1.8603	84.2737
1.07	0	0	0	84.6949	32.8224	32.2824	88.9501	80.4413	80.3827	178.1861	131.7126	167.8171	176.6085	130.8507	157.0899	20.4998	37.7464	19.8053	34.0411	5.5985	1.8204	84.1111
1.1	0	0	0	84.9321	32.5676	32.0729	89.444	80.3325	80.3162	178.1791	131.8757	171.9803	176.6258	130.8624	161.0947	20.5834	37.6831	18.9328	34.121	5.8303	1.721	83.9193
1.13	0	0	0	85.0058	32.4301	31.9485	89.702	80.2872	80.2825	177.7328	130.5226	167.0504	176.4576	130.8158	162.7889	20.0496	37.1593	19.1144	34.5536	5.856	1.6003	83.9278
1.17	0	0	0	85.3713	32.2501	31.8353	89.8365	80.2133	80.2119	177.7689	130.7515	164.7373	176.512	130.882	161.1306	19.3844	35.9889	18.8031	34.3409	5.886	1.6066	83.8972
1.2	0	0	0	85.5555	32.2866	31.9044	89.5659	80.0795	80.0698	177.7493	130.5092	164.2315	176.6385	130.9031	164.3039	18.6132	35.1958	18.784	34.112	5.8725	1.5269	83.9308
1.23	0	0	0	85.6664	32.1085	31.7441	89.4286	79.9704	79.9538	177.7873	130.5697	165.9462	176.8295	130.9796	164.0376	18.509	34.7324	18.6055	33.9179	5.8777	1.4536	83.944
1.27	0	0	0	85.623	32.0979	31.726	89.4651	79.8711	79.8567	177.5498	130.4635	169.1892	176.8198	130.9352	164.8361	18.5859	34.8657	18.5766	33.7159	5.9133	1.3082	83.9427
1.3	0	0	0	85.7619	31.9999	31.6507	89.3343	79.7822	79.7601	177.4853	130.9137	172.6758	176.8983	131.0965	167.1535	18.5648	35.0147	18.6637	33.7418	5.9037	1.2156	83.9715
1.33	0	0	0	85.6894	31.9615	31.6	89.3901	79.7575	79.739	177.5625	131.1676	174.2166	176.9055	131.0637	166.9677	18.8048	35.864	19.0726	33.9575	5.9261	1.1929	83.9541
1.37	0	0	0	85.6963	31.868	31.507	89.3613	79.601	79.5809	177.6709	130.6942	172.8718	176.8844	130.9266	161.1866	19.6462	37.5948	20.2532	34.2778	5.9843	1.0982	83.9151
1.4	0	0	0	85.6284	31.727	31.3537	89.4886	79.2882	79.2757	177.9014	130.6991	172.8774	177.1199	131.0068	151.9951	19.7195	38.3278	20.5438	32.8007	6.0303	1.034	83.881
1.43	0	0	0	85.677	31.4104	31.0432	89.4878	79.0056	78.9934	178.0659	131.2813	169.5161	177.1293	130.9502	155.601	19.3999	38.4433	21.3447	32.8512	5.9204	0.8885	84.0128
1.47	0	0	0	85.3116	31.2095	30.7759	89.9466	78.7671	78.767	178.3273	130.8709	166.6688	177.095	131.0496	158.915	18.1895	36.9812	21.2878	32.851	5.864	0.8477	84.0747
1.5	0	0	0	85.3221	31.2575	30.8263	89.9217	78.7368	78.7365	178.358	130.8923	163.8772	177.0427	131.0261	152.0259	16.849	36.2553	20.6861	29.9765	5.8998	0.6918	84.0595
1.53	0	0	0	85.1944	31.2941	30.8393	89.6945	78.7223	78.7181	178.5164	130.9261	164.3008	177.1317	131.0527	150.4103	15.224	34.2422	19.5634	27.2462	5.8442	0.5479	84.13
1.57	0	0	0	84.9816	31.4827	30.9883	89.4111	78.8562	78.8402	178.6543	130.545	164.3719	177.4545	131.1206	148.6614	13.0024	31.7502	19.0644	24.0172	5.7401	0.6148	84.2268
