PathFileType	4	(X/Y/Z)	kinectCoordinates
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
30.00	30.00	66	25	mm	30.00	1	1
Frame#	Time	SpineBase			SpineMid			Neck			Head			ShoulderLeft			ElbowLeft			WristLeft			HandLeft			ShoulderRight			ElbowRight			WristRight			HandRight			HipLeft			KneeLeft			AnkleLeft			FootLeft			HipRigth			KneeRight			AnkleRight			FootRight			SpineShoulder			HandTipLeft			ThumbLeft			HandTipRight			ThumbRight
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	

11	0.33	0	0	0	24.0519	299.6892	-14.4435	55.9582	588.5615	-21.9017	85.5629	717.6545	4.3021	141.923	449.6831	-157.3666	146.4283	206.8739	-205.0278	168.5669	-4.6606	-186.1213	178.6008	-28.6505	-192.1744	-28.8178	476.2351	156.719	-18.4214	270.7478	231.0554	192.9549	261.4003	135.8876	210.9359	252.1956	65.8476	69.3345	-9.0149	-46.9901	45.6375	-338.5264	-82.3413	6.4546	-696.4755	-135.6526	77.338	-789.1456	-116.0998	-11.7136	2.7726	88.1512	-59.9425	-334.2905	106.1513	-107.913	-688.964	107.4483	-54.7976	-776.8692	168.7217	46.4586	517.9123	-21.307	182.3756	-93.7076	-190.1978	140.0907	-2.2308	-138.847	270.4618	241.3135	12.7394	233.9263	265.104	133.5197
12	0.37	0	0	0	24.0386	299.5971	-14.4711	55.9818	588.3799	-21.9493	85.5525	717.4439	4.3362	141.9185	449.6818	-157.3324	146.7701	206.653	-205.1467	169.4954	-4.8899	-187.1415	181.6139	-29.8795	-190.4708	-28.4891	476.005	156.1078	-18.3794	270.502	230.389	194.2533	260.7782	136.5524	214.085	250.7171	67.7358	69.3455	-9.0048	-46.961	45.8853	-338.5166	-82.3382	6.6485	-696.6424	-135.7192	77.5635	-789.5072	-116.1888	-11.6849	2.7384	88.1248	-60.0805	-334.567	106.1642	-107.6237	-689.2282	107.5431	-54.6243	-777.0502	168.5551	46.4695	517.7502	-21.35	186.7166	-94.3808	-190.2683	139.475	10.0893	-141.3241	271.3477	238.9998	13.9948	230.2868	248.2143	138.5633
13	0.4	0	0	0	24.0803	299.5816	-14.4565	56.1133	588.3425	-21.9026	85.5114	717.5047	4.49	141.7824	449.705	-157.195	147.0425	206.6846	-205.156	170.2798	-4.8181	-187.0752	182.8849	-30.8508	-190.9112	-27.7018	474.8302	157.1806	-16.2037	268.6178	229.3003	195.3232	260.1869	137.1739	214.8271	246.28	64.9515	69.2094	-8.9503	-46.973	45.9679	-338.7156	-82.4008	7.2482	-695.8129	-135.138	77.6736	-789.5834	-116.0451	-11.5583	2.6973	88.1531	-59.9361	-334.6797	106.33	-107.6078	-689.1676	107.4342	-54.166	-776.9494	168.6182	46.5772	517.7165	-21.3116	186.8588	-94.2954	-187.7086	187.7404	-48.6417	-156.9793	274.8912	234.862	11.6285	213.0105	284.509	4.039
14	0.43	0	0	0	24.1622	299.5798	-14.4851	56.3046	588.3308	-21.9373	85.6069	717.3922	4.4768	141.497	449.8157	-157.3414	147.4755	206.7156	-205.2175	171.4981	-4.7524	-187.5963	185.3457	-30.4957	-191.9314	-27.0687	473.8977	158.0302	-16.4644	267.4472	229.3718	194.5543	256.7746	140.3874	216.1967	243.6173	67.6389	69.0911	-8.9288	-46.9727	46.2545	-338.9295	-82.4895	7.4708	-695.89	-135.0793	78.0852	-789.608	-116.0335	-11.4245	2.6774	88.1574	-59.6427	-334.6938	106.3954	-107.0965	-689.709	107.6141	-53.7964	-777.1955	168.9142	46.7414	517.7062	-21.3466	189.4671	-93.7589	-190.3032	188.69	-48.4269	-156.8046	273.5825	224.2645	9.9228	210.1339	292.0722	21.0584
15	0.47	0	0	0	24.3552	299.6435	-14.2871	56.677	588.4223	-21.6044	85.8204	717.6007	4.743	141.4537	449.6406	-157.1059	148.0764	206.8926	-204.9126	173.8952	-4.5246	-189.3615	187.2539	-30.5891	-192.2003	-26.5927	473.5241	158.7598	-18.3139	266.7824	229.0563	194.3359	248.9152	141.3404	211.807	229.4794	72.0202	69.0377	-8.8679	-47.0444	46.6087	-338.0849	-82.0671	7.4376	-695.6446	-134.756	78.4944	-789.5252	-115.7305	-11.3318	2.6225	88.2444	-59.2619	-335.0764	106.7195	-106.595	-689.7864	107.9378	-53.2662	-777.1916	169.4298	47.0743	517.7924	-21.0393	192.8989	-92.3145	-190.6487	185.0266	-44.5535	-157.7269	268.2872	208.8805	17.4853	217.2571	270.6341	17.9936
16	0.5	0	0	0	24.2737	299.7728	-14.2724	56.4628	588.7466	-21.614	85.7328	717.7459	4.7826	141.3359	449.7093	-157.0188	148.122	207.0162	-204.9446	174.7627	-4.3428	-189.7254	188.3602	-29.9403	-191.4947	-26.6082	473.3054	158.9627	-17.8688	267.2859	231.5689	182.2102	218.718	162.1042	201.0707	204.6248	84.277	69.0206	-8.8383	-47.0549	46.5596	-337.9793	-82.1341	7.4159	-695.5389	-134.6729	78.3979	-789.4369	-115.6301	-11.2881	2.5706	88.2646	-59.2739	-335.2167	106.8143	-107.3211	-687.3859	107.5033	-53.023	-776.4166	169.3734	46.9045	518.0433	-21.0431	195.2176	-92.7486	-187.7633	191.2489	-37.8985	-156.1399	260.6917	182.2917	32.1625	218.6537	247.7291	39.4846
17	0.53	0	0	0	24.3145	299.8255	-14.2672	56.6102	588.8196	-21.6148	85.7593	717.8141	4.798	141.274	449.712	-157.0693	148.5136	207.1667	-204.9847	175.2012	-4.1888	-189.7637	188.7139	-30.5869	-190.9235	-26.7999	473.0688	159.2904	7.464	265.3552	249.9676	192.2342	192.1725	139.7817	196.0857	175.9281	84.4388	68.9925	-8.8811	-47.066	46.76	-338.0841	-82.2184	7.8942	-698.2515	-134.6294	78.1562	-789.322	-115.6836	-11.2628	2.601	88.2739	-59.2265	-335.3187	106.9462	-107.0021	-686.8493	107.6673	-52.8501	-776.1043	169.4073	47.0058	518.1074	-21.0425	196.398	-92.7896	-187.3498	190.2543	-36.5633	-155.7966	247.9672	145.5874	42.3544	237.2506	199.0825	121.0732
18	0.57	0	0	0	24.1229	299.9717	-14.1439	56.3351	589.0353	-21.4458	85.4441	718.1062	4.9893	140.3497	449.6169	-157.0833	148.4853	208.0003	-205.2865	174.9696	-3.3737	-190.021	187.0103	-30.5683	-192.1637	-28.7264	474.1691	159.3264	-21.8136	271.2585	240.7704	155.5002	171.049	166.2861	172.701	148.1509	114.1332	69.2268	-8.9051	-47.0897	46.4771	-337.9368	-82.259	7.3819	-700.1821	-136.1108	78.265	-789.1291	-115.1377	-11.4089	2.6009	88.2785	-59.7528	-336.4594	106.7662	-107.1498	-687.1109	107.9859	-53.3798	-776.1349	169.8697	46.7488	518.3076	-20.8787	192.5631	-93.9795	-187.2709	189.9651	-41.6295	-155.9172	229.9226	109.5129	74.5944	213.7716	173.4948	143.9769
19	0.6	0	0	0	24.0638	300.1024	-13.9952	56.2583	589.2169	-21.2111	85.4338	718.3516	5.0711	140.0497	449.6811	-156.9353	148.6688	209.2733	-205.8064	174.8713	-2.098	-189.7685	186.4967	-30.2709	-190.6309	-30.4138	475.9609	158.43	-23.7713	270.6167	239.152	145.8924	151.6114	174.9205	NaN	NaN	NaN	69.2639	-8.9592	-47.2466	46.2673	-337.3866	-82.2719	7.1335	-699.8568	-136.3659	78.0593	-788.805	-114.9045	-11.4349	2.6485	88.4102	-59.4378	-336.1585	106.5836	-107.2455	-687.1208	108.3502	-52.9466	-775.811	170.6858	46.6731	518.4817	-20.658	190.9785	-93.1201	-189.4643	187.6953	-35.4627	-157.1287	207.53	73.6771	105.0562	181.8347	113.5377	176.5122
20	0.63	0	0	0	23.9064	300.4503	-14.3254	56.1449	589.7049	-21.7644	85.2445	718.7902	4.6422	139.8253	450.0449	-157.2203	148.5443	209.9777	-206.4656	175.2648	-1.3547	-190.5654	188.6951	-29.7222	-192.146	-31.1411	477.4956	157.2893	-27.0746	266.9782	236.3667	123.9177	115.7167	198.1884	139.2288	83.1477	152.7616	69.5741	-9.2938	-47.092	45.9122	-337.325	-82.385	7.2355	-697.8402	-136.247	78.1117	-788.4439	-115.0106	-11.6102	2.8693	88.3062	-59.4769	-336.6803	106.2706	-107.2087	-687.0806	108.0379	-52.7508	-775.4899	170.6596	46.5345	518.9191	-21.1233	195.7019	-89.5836	-187.9746	192.0152	-35.6115	-157.2391	180.7165	30.0349	141.2236	164.0445	57.2144	187.7241
